Potential (V),Current (A)
-0.464966804,-0.0094852
-0.461593032,-0.009427539
-0.458525985,-0.009354543
-0.455765635,-0.009282774
-0.45331198,-0.009210391
-0.449938208,-0.009142303
-0.446564436,-0.009048451
-0.44349736,-0.008965027
-0.440123588,-0.008908592
-0.437056541,-0.008827008
-0.433989465,-0.00876444
-0.430922419,-0.00868531
-0.427855343,-0.008612314
-0.425094992,-0.008541771
-0.42172122,-0.008481043
-0.418654144,-0.008419089
-0.415280372,-0.00835284
-0.412213326,-0.008286592
-0.408839554,-0.008210529
-0.406385899,-0.00814428
-0.402705431,-0.008069444
-0.399638355,-0.007997061
-0.397491425,-0.007930199
-0.394117653,-0.007851069
-0.390743881,-0.00778482
-0.38737011,-0.007710597
-0.384303033,-0.007640668
-0.381235987,-0.007564605
-0.378168911,-0.007494063
-0.375715256,-0.007420453
-0.371728092,-0.007350524
-0.368967742,-0.007276915
-0.365900666,-0.007201465
-0.362220198,-0.007126628
-0.360073239,-0.007051792
-0.356699467,-0.00697941
-0.35363242,-0.006900279
-0.350565344,-0.006826056
-0.346884876,-0.00675122
-0.344124526,-0.006675157
-0.341364145,-0.006595413
-0.337990373,-0.00651751
-0.334923327,-0.006445127
-0.331856251,-0.006362316
-0.3290959,-0.006284413
-0.326028854,-0.00620651
-0.322655082,-0.006123699
-0.31928131,-0.006048862
-0.316520929,-0.005968506
-0.313453883,-0.005891216
-0.310080111,-0.005812699
-0.306706339,-0.005738476
-0.303945988,-0.005653211
-0.300572217,-0.005575308
-0.29750514,-0.005499245
-0.29474479,-0.005414593
-0.291984439,-0.005338531
-0.288610667,-0.005255106
-0.285543591,-0.005174136
-0.28278324,-0.005095006
-0.279409468,-0.005017102
-0.276342422,-0.004932452
-0.273275346,-0.004849641
-0.270208299,-0.004769897
-0.267447919,-0.004684633
-0.264074147,-0.004605502
-0.260700375,-0.004518398
-0.257940024,-0.004436814
-0.254566252,-0.00435523
-0.251499206,-0.004273033
-0.24843213,-0.004186542
-0.245058373,-0.004101891
-0.242604718,-0.004017239
-0.239537656,-0.003932589
-0.235550463,-0.003849165
-0.232790112,-0.003758993
-0.230029762,-0.003672502
-0.226962686,-0.003590304
-0.223895624,-0.003498293
-0.220521852,-0.003413028
-0.218068212,-0.003324083
-0.21469444,-0.003240046
-0.211934075,-0.003154168
-0.208560318,-0.00306645
-0.205799952,-0.002971371
-0.202119485,-0.002881813
-0.198745713,-0.002792868
-0.195985347,-0.002697176
-0.193224996,-0.002605164
-0.189851224,-0.002515605
-0.187090874,-0.0024193
-0.183717102,-0.002324221
-0.180650041,-0.002230982
-0.177889675,-0.002131609
-0.173902497,-0.002038984
-0.171142131,-0.001943905
-0.167461663,-0.001843918
-0.165314719,-0.00175252
-0.161940947,-0.00165192
-0.159180596,-0.001556228
-0.155500114,-0.001454401
-0.152433053,-0.001357482
-0.149365991,-0.001250994
-0.14629893,-0.001155486
-0.143231854,-0.001055008
-0.140471503,-0.000953857
-0.137097731,-0.000854361
-0.13403067,-0.000749529
-0.130963609,-0.000647641
-0.127896547,-0.000546673
-0.124829479,-0.000435278
-0.121762417,-0.000330936
-0.118388645,-0.000218375
-0.115014881,-0.000110844
-0.112561226,5.86E-06
-0.109800868,2.01E-05
-0.106427103,0.000201003
-0.103053331,0.000353571
-0.100292973,0.00047699
-0.096612498,0.000605132
-0.093545437,0.000736095
-0.090785079,0.000867672
-0.08771801,0.001004893
-0.084344245,0.001149106
-0.08189059,0.001300251
-0.078823529,0.001456548
-0.075756468,0.001615177
-0.072689399,0.001779081
-0.069315635,0.001944089
-0.065941863,0.002108913
-0.062568091,0.002286803
-0.059807736,0.002449357
-0.056433968,0.002614365
-0.05367361,0.002778146
-0.051219959,0.002933953
-0.047846191,0.003089146
-0.044472419,0.003230231
-0.041712061,0.003368862
-0.038031586,0.003500133
-0.035271227,0.003633857
-0.032204166,0.003751019
-0.029137103,0.003879835
-0.025763333,0.003999451
-0.023616388,0.00411784
-0.019629207,0.004232548
-0.017175555,0.004338668
-0.013495079,0.004450922
-0.010734722,0.004557656
-0.007360952,0.004677885
-0.004293889,0.004784619
-0.001533532,0.004896874
0.001533532,0.00500054
0.004293889,0.005110954
0.007974365,0.005220142
0.010734722,0.005323809
0.014108492,0.005434836
0.017175555,0.005544024
0.020549325,0.005653825
0.023309682,0.005753198
0.026683452,0.0058722
0.029443808,0.005982614
0.032510873,0.006094255
0.035884641,0.00620651
0.038951706,0.006315697
0.042325474,0.006424884
0.044779126,0.006529165
0.048152894,0.006648167
0.051526666,0.006759194
0.053980317,0.006872062
0.057047378,0.006984317
0.06042115,0.007099638
0.063488215,0.007211893
0.06686198,0.007324148
0.069315635,0.00744315
0.072075993,0.00755111
0.075756468,0.007664592
0.078823529,0.007775006
0.082197301,0.0078891
0.084957659,0.008009329
0.088331424,0.008124038
0.091091782,0.008239359
0.094772257,0.008352228
0.097839326,0.008469389
0.09998627,0.008573055
0.103973448,0.008695738
0.10704051,0.008809833
0.109494165,0.008925155
0.112561226,0.009047837
0.115628287,0.009164385
0.119002059,0.009277867
0.12206912,0.009399323
0.125136182,0.009517098
0.127896547,0.009628739
0.130963609,0.009755102
0.134644076,0.009875331
0.137404442,0.009994333
0.140778214,0.010120695
0.143845275,0.010243379
0.147219047,0.010366675
0.149979398,0.01048997
0.153046459,0.0106102
0.15611352,0.010731041
0.158873886,0.010862925
0.162247658,0.010986835
0.164701298,0.01110829
0.16807507,0.011242014
0.171448842,0.011368377
0.174515903,0.011505168
0.177582964,0.011634598
0.180956736,0.011757894
0.184023798,0.011888552
0.187090874,0.012011234
0.189851224,0.012145571
0.193531707,0.012281136
0.195985347,0.012426514
0.199359119,0.012552877
0.202732891,0.012697029
0.205493242,0.012825232
0.208253607,0.012956503
0.211627379,0.01309084
0.21469444,0.013225791
0.217761502,0.013364422
0.220828563,0.013504894
0.224202335,0.013642298
0.226962686,0.01378645
0.230336457,0.013921401
0.233403519,0.014058805
0.236470595,0.014199276
0.239537656,0.014340975
0.242911428,0.014473472
0.24597849,0.014619464
0.24843213,0.014761163
0.252112597,0.014902861
0.254872978,0.015054374
0.257940024,0.015195459
0.260700375,0.015337771
0.263460755,0.015473335
0.267447919,0.01562178
0.270208299,0.015764706
0.27296865,0.0159199
0.276342422,0.016073866
0.280022889,0.016226606
0.28278324,0.016378118
0.285236895,0.016534539
0.288610667,0.016691573
0.291984439,0.01684738
0.29474479,0.017003799
0.297811866,0.017152859
0.301185638,0.017329521
0.304252684,0.017490236
0.30731976,0.017671807
0.310386807,0.017844789
0.313760579,0.018007342
0.316520929,0.018184619
0.318361193,0.018138614
0.321428239,0.018347174
0.32418859,0.018555734
0.327562362,0.018739758
0.330936134,0.018917646
0.333696485,0.019120073
0.336763561,0.0193225
0.340137333,0.019524926
0.342590988,0.019696681
0.346271455,0.019899108
0.349338531,0.020076998
0.352405578,0.020279422
0.355165929,0.020475715
0.358539701,0.020672007
0.361300081,0.020886702
0.364367127,0.021101397
0.367740899,0.021291554
0.370807976,0.021500114
0.373875022,0.021690272
0.377248794,0.021880431
0.379702449,0.022082856
0.383076221,0.022297552
0.386449993,0.02251838
0.389210343,0.022720806
0.39227742,0.0229355
0.395957887,0.023137927
0.398411542,0.023334218
0.401478589,0.023548912
0.404545665,0.023745205
0.40699932,0.023941496
0.410679787,0.024150057
0.413746864,0.024364751
0.417120636,0.024591714
0.419880986,0.024800275
0.422334641,0.025008835
0.425708413,0.025192859
0.429082155,0.025395285
0.432149231,0.025591576
0.435216308,0.025806271
0.437976658,0.026020966
0.440737009,0.026235661
0.444724202,0.026438087
0.447484553,0.026628245
0.450244904,0.026836805
0.453618675,0.027051499
0.456992447,0.027253926
0.459446102,0.027456352
0.462513149,0.027652644
0.465886921,0.027867338
0.468953997,0.028075898
0.471407652,0.028272191
0.474781424,0.028474616
0.478155196,0.028689312
0.481222242,0.028873336
